epoch,train_loss,val_loss,train_acc,test_acc
230,0.0011005009345658472,0.23300845190882682,99.994,94.74
231,0.0010541193132155367,0.23236433617770672,99.994,94.75
232,0.0009810884967242377,0.23159892696887255,99.998,94.76
233,0.0010207101187678863,0.23083247445523739,99.992,94.77
234,0.0009572763995462767,0.23347773898392915,99.996,94.79
235,0.0009250375761902388,0.2320385954901576,99.994,94.75
236,0.0009769545747083314,0.23277106828987598,99.994,94.77
237,0.001027699535065914,0.23067485563457013,99.994,94.74
238,0.0010308740220120168,0.23083422627300024,99.99,94.79
239,0.0009488962539185858,0.23120294120162727,99.998,94.85
240,0.0009054646874471899,0.2306300948187709,100.0,94.78
241,0.0009974680712644267,0.23005666945129633,99.996,94.78
242,0.0009809332794275807,0.23274992417544127,99.998,94.77
243,0.0008951279391591793,0.23168613966554402,100.0,94.83
244,0.0009162467660616412,0.23440549571067096,99.994,94.75
245,0.0009847645222766461,0.23293429661542178,99.99,94.79
246,0.000988147681993742,0.23101904347538949,99.992,94.81
247,0.0009277208695647276,0.23414965979754926,99.994,94.73
248,0.0008689431959892387,0.23023552674800157,99.998,94.68
249,0.0009466209602208756,0.2315981701016426,99.99,94.8
250,0.0009254143579335719,0.23038891330361366,99.998,94.72
251,0.0009599299192183849,0.22970865309238434,99.996,94.8
252,0.0008963254349463432,0.23439292553812266,99.998,94.69
253,0.001081202407669731,0.23060294196009637,99.99,94.82
254,0.0009657669411760771,0.23129975277930498,99.996,94.84
255,0.0008565448619790918,0.23160781301558017,99.998,94.83
256,0.0008833194182783156,0.23316173516213895,100.0,94.78
257,0.0010537372288250072,0.2303051060438156,99.99,94.76
258,0.0009295689234973939,0.23128636982291936,99.998,94.84
259,0.0009779020715692459,0.22954250015318395,100.0,94.84
260,0.0008920323372895346,0.23086880918592215,100.0,94.72
261,0.000878280261270952,0.23178035132586955,99.998,94.79
262,0.0008747895241758484,0.22937732815742493,99.998,94.87
263,0.0008325768544276416,0.2308320938050747,100.0,94.82
264,0.0009367161181733332,0.22911874420940875,99.994,94.74
265,0.0008947579656838371,0.23103537276387215,99.998,94.79
266,0.0009529862089229681,0.23100803729146718,99.998,94.78
267,0.000978856416650788,0.2288147358223796,99.992,94.85
268,0.0009545605436748709,0.22988052871078252,100.0,94.84
269,0.0009282009155877158,0.22995037943124771,99.998,94.84
270,0.0008931787125706729,0.23142695151269435,99.998,94.86
